epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6598.51,0.40086,0.57051,1.01639,0.80494,0.8872,0.88085,0.70313,0.72075,0.6207,1.32665,0.000990365,0.000990365,0.000990365
43,6748.81,0.39583,0.56134,1.01242,0.81299,0.85579,0.88642,0.71528,0.65726,0.62774,1.26094,0.000973861,0.000973861,0.000973861
44,6897.82,0.38557,0.549,1.00902,0.82811,0.86667,0.90633,0.74639,0.64427,0.584,1.25133,0.000957358,0.000957358,0.000957358
45,7051.12,0.392,0.54583,1.01694,0.80722,0.8537,0.8784,0.71916,0.63967,0.61383,1.23309,0.000940855,0.000940855,0.000940855
46,7203.74,0.38359,0.54678,1.00771,0.8356,0.86924,0.90328,0.7264,0.66597,0.57821,1.28026,0.000924352,0.000924352,0.000924352
47,7352.18,0.39098,0.54035,1.0198,0.87456,0.82297,0.90401,0.73221,0.64621,0.58036,1.24428,0.000907848,0.000907848,0.000907848
48,7504.07,0.38156,0.54652,1.00506,0.82296,0.84946,0.88731,0.71,0.70757,0.61851,1.35813,0.000891345,0.000891345,0.000891345
49,7654.74,0.37759,0.52956,1.00721,0.86272,0.84133,0.89726,0.73626,0.64742,0.57318,1.24416,0.000874842,0.000874842,0.000874842
50,7803.5,0.37829,0.52152,1.00282,0.86735,0.80706,0.90533,0.7099,0.71766,0.63336,1.32952,0.000858338,0.000858338,0.000858338
51,7953.99,0.36421,0.52079,1.00207,0.85718,0.86203,0.89957,0.73528,0.64416,0.56988,1.24829,0.000841835,0.000841835,0.000841835
52,8103.08,0.36687,0.51521,0.99974,0.86376,0.86341,0.90069,0.73446,0.63264,0.57326,1.22723,0.000825332,0.000825332,0.000825332
53,8254.24,0.36243,0.50684,0.99452,0.86287,0.86627,0.90283,0.72934,0.66911,0.59427,1.30636,0.000808828,0.000808828,0.000808828
54,8402.72,0.36225,0.50114,0.99188,0.85854,0.86055,0.91355,0.7481,0.6543,0.56855,1.27869,0.000792325,0.000792325,0.000792325
55,8561.58,0.35974,0.507,0.99513,0.81601,0.87013,0.9024,0.73365,0.65862,0.57604,1.27677,0.000775822,0.000775822,0.000775822
56,8725,0.35925,0.49708,1.00038,0.86341,0.87994,0.93105,0.75561,0.64519,0.52691,1.26977,0.000759318,0.000759318,0.000759318
57,8886.25,0.36529,0.47846,0.99317,0.86291,0.90299,0.92778,0.76052,0.62691,0.49863,1.22101,0.000742815,0.000742815,0.000742815
58,9062.06,0.35962,0.47991,0.98646,0.86098,0.87086,0.90152,0.73545,0.66922,0.56709,1.30169,0.000726312,0.000726312,0.000726312
59,9210.71,0.34959,0.4714,0.98551,0.85968,0.86061,0.91517,0.74132,0.63709,0.57428,1.2278,0.000709809,0.000709809,0.000709809
60,9360.47,0.35077,0.4546,0.98332,0.84605,0.88207,0.91329,0.74893,0.65689,0.5545,1.27143,0.000693305,0.000693305,0.000693305
61,9514.31,0.34083,0.45113,0.98268,0.88312,0.87394,0.92997,0.75767,0.62291,0.50664,1.22298,0.000676802,0.000676802,0.000676802
62,9663.92,0.3455,0.4486,0.98766,0.82634,0.89851,0.9149,0.75193,0.6327,0.56249,1.22203,0.000660299,0.000660299,0.000660299
63,9817.72,0.34565,0.44725,0.98008,0.8412,0.90084,0.91522,0.75108,0.62287,0.5438,1.22336,0.000643795,0.000643795,0.000643795
64,9966.62,0.33975,0.44612,0.97786,0.87106,0.88599,0.92898,0.76819,0.60407,0.51025,1.2083,0.000627292,0.000627292,0.000627292
65,10126.2,0.35043,0.44095,0.9888,0.8901,0.87127,0.9222,0.76115,0.62255,0.51857,1.2127,0.000610789,0.000610789,0.000610789
