epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2432.09,0.38248,0.49548,1.00059,0.85367,0.88922,0.92748,0.74653,0.68134,0.57399,1.23891,0.000990365,0.000990365,0.000990365
43,2489.74,0.37793,0.47673,0.9934,0.8838,0.85872,0.92065,0.73106,0.68797,0.5776,1.30547,0.000973861,0.000973861,0.000973861
44,2547.4,0.36726,0.46825,0.99092,0.88496,0.88163,0.93049,0.7593,0.65697,0.52826,1.22668,0.000957358,0.000957358,0.000957358
45,2611.05,0.37166,0.45761,0.99755,0.87488,0.85115,0.92451,0.76615,0.61475,0.53797,1.16663,0.000940855,0.000940855,0.000940855
46,2677.16,0.3657,0.46864,0.99145,0.90152,0.85126,0.93385,0.76096,0.64628,0.52023,1.2443,0.000924352,0.000924352,0.000924352
47,2734.71,0.38114,0.46123,1.01517,0.84616,0.84762,0.90165,0.73093,0.64331,0.63493,1.25698,0.000907848,0.000907848,0.000907848
48,2791.13,0.36648,0.44488,0.98952,0.85798,0.9128,0.92069,0.74864,0.65386,0.53465,1.24064,0.000891345,0.000891345,0.000891345
49,2848.11,0.36383,0.44371,0.99175,0.85047,0.88097,0.92126,0.75365,0.64346,0.54668,1.23944,0.000874842,0.000874842,0.000874842
50,2905.39,0.36725,0.44626,0.98571,0.90322,0.86999,0.93525,0.73384,0.70919,0.54279,1.28728,0.000858338,0.000858338,0.000858338
51,2961.46,0.35004,0.44907,0.98824,0.86646,0.8942,0.92875,0.75595,0.64737,0.53867,1.2359,0.000841835,0.000841835,0.000841835
52,3018.41,0.35105,0.43016,0.98357,0.8819,0.8813,0.93402,0.75369,0.65379,0.54351,1.25048,0.000825332,0.000825332,0.000825332
53,3075.48,0.3545,0.44137,0.98599,0.80789,0.8788,0.89397,0.72948,0.66087,0.62278,1.26898,0.000808828,0.000808828,0.000808828
54,3131.85,0.34359,0.43065,0.97781,0.88584,0.86686,0.93193,0.75427,0.65526,0.53721,1.27718,0.000792325,0.000792325,0.000792325
55,3188.84,0.34289,0.42084,0.97913,0.86225,0.89336,0.92289,0.75064,0.6446,0.54497,1.25745,0.000775822,0.000775822,0.000775822
56,3246.4,0.34541,0.4317,0.98657,0.8796,0.88225,0.93597,0.75947,0.64588,0.51964,1.23106,0.000759318,0.000759318,0.000759318
57,3304.05,0.35296,0.4104,0.98087,0.89999,0.87448,0.93672,0.78181,0.61323,0.50704,1.20489,0.000742815,0.000742815,0.000742815
58,3368.66,0.34374,0.42287,0.9712,0.91742,0.8668,0.93219,0.75984,0.65479,0.51106,1.26697,0.000726312,0.000726312,0.000726312
59,3424.7,0.34193,0.4105,0.97673,0.87255,0.89438,0.92432,0.75867,0.6427,0.52542,1.25675,0.000709809,0.000709809,0.000709809
60,3481.33,0.3402,0.39808,0.97202,0.87178,0.88708,0.92873,0.75558,0.6739,0.54035,1.26914,0.000693305,0.000693305,0.000693305
61,3537.62,0.32892,0.37679,0.9707,0.90252,0.88589,0.94438,0.78253,0.62938,0.48289,1.2199,0.000676802,0.000676802,0.000676802
