epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4807.74,0.38144,0.52559,1.00475,0.84341,0.87801,0.90628,0.73581,0.66751,0.58566,1.28506,0.000990365,0.000990365,0.000990365
43,4919.92,0.37873,0.50444,1.00104,0.83524,0.85564,0.90767,0.71368,0.7277,0.62705,1.35283,0.000973861,0.000973861,0.000973861
44,5035.2,0.3742,0.5065,0.99935,0.85785,0.87596,0.92621,0.74694,0.67565,0.55277,1.26795,0.000957358,0.000957358,0.000957358
45,5150.32,0.37402,0.49356,1.00371,0.82352,0.89568,0.91616,0.74447,0.64777,0.5603,1.24648,0.000940855,0.000940855,0.000940855
46,5262.82,0.36566,0.49802,0.99295,0.84628,0.87575,0.91037,0.73524,0.67601,0.5942,1.30048,0.000924352,0.000924352,0.000924352
47,5379.78,0.37122,0.47788,1.0057,0.87258,0.87071,0.92414,0.74823,0.64877,0.56742,1.26575,0.000907848,0.000907848,0.000907848
48,5492.8,0.36469,0.48552,0.99448,0.86649,0.8711,0.90041,0.72172,0.67755,0.58348,1.27405,0.000891345,0.000891345,0.000891345
49,5605.82,0.35945,0.47799,0.9922,0.84962,0.87865,0.91982,0.72938,0.70969,0.58971,1.34106,0.000874842,0.000874842,0.000874842
50,5718.17,0.36697,0.47204,0.99025,0.86456,0.85001,0.91819,0.72263,0.69502,0.57517,1.32676,0.000858338,0.000858338,0.000858338
51,5836.49,0.34929,0.47963,0.99171,0.84542,0.88808,0.9045,0.73486,0.64855,0.5801,1.24156,0.000841835,0.000841835,0.000841835
52,5949.15,0.3514,0.46855,0.98707,0.86741,0.88925,0.93151,0.75269,0.64526,0.52935,1.23129,0.000825332,0.000825332,0.000825332
53,6064.39,0.3496,0.45855,0.98525,0.87828,0.88578,0.93536,0.75607,0.64826,0.53177,1.27458,0.000808828,0.000808828,0.000808828
54,6179.4,0.34467,0.44381,0.98069,0.86583,0.83445,0.90255,0.73121,0.67544,0.60385,1.29331,0.000792325,0.000792325,0.000792325
